Data element,Possible values and units
Monocytes,"Monocytes/100 leukocytes in Blood (LOINC: 26485-3, Concept ID: 3019069)"
Monocytes,"Monocytes/100 leukocytes in Blood by Manual count (LOINC: 744-3, Concept ID: 3022407)"
Mycobacterium Tuberculosis Stimulated Gamma Interferon ,"Lipase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 3040-3, Concept ID: 3004905)"
Mycobacterium Tuberculosis Stimulated Gamma Interferon ,"Lipase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 3040-3, Concept ID: 3004905)"
Mycobacterium Tuberculosis Stimulated Gamma Interferon ,"Lipase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 3040-3, Concept ID: 3004905)"
Mycobacterium Tuberculosis Stimulated Gamma Interferon ,"Lipase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 3040-3, Concept ID: 3004905)"
Myelin Basic Protein ,"Myelin basic protein [Mass/volume] in Cerebral spinal fluid (LOINC: 2638-5, Concept ID: 3022618)"
Myelocytes,"Myelocytes/100 leukocytes in Blood by Manual count (LOINC: 749-2, Concept ID: 3018229)"
Myelocytes,"Promyelocytes/100 leukocytes in Blood by Manual count (LOINC: 783-1, Concept ID: 3011587)"
Myelocytes,"Metamyelocytes/100 leukocytes in Blood (LOINC: 28541-1, Concept ID: 3002179)"
Myelocytes,"Metamyelocytes/100 leukocytes in Blood by Manual count (LOINC: 740-1, Concept ID: 3000666)"
Myelocytes,"Myelocytes/100 leukocytes in Blood (LOINC: 26498-6, Concept ID: 3017181)"
Myelocytes,"Myelocytes [#/volume] in Blood (LOINC: 30446-9, Concept ID: 3021120)"
Myelocytes,"Metamyelocytes [#/volume] in Blood (LOINC: 30433-7, Concept ID: 3024507)"
Myelocytes,"Promyelocytes [#/volume] in Blood (LOINC: 26523-1, Concept ID: 3022709)"
Myelocytes,"Promyelocytes/100 leukocytes in Blood (LOINC: 26524-9, Concept ID: 3021440)"
Oxygen saturation,"Oxygen saturation in Blood (LOINC: 20564-1, Concept ID: 3013502)"
Oxygen saturation,"Oxygen saturation [Pure mass fraction] in Blood (LOINC: 71853-6, Concept ID: 42869608)"
Oxygen saturation,"Oxygen saturation [Pure mass fraction] in Venous blood (LOINC: 71845-2, Concept ID: 42869600)"
Oxygen saturation,"Oxygen saturation in Venous blood (LOINC: 2711-0, Concept ID: 3024928)"
Oxygen saturation,"Oxygen saturation [Pure mass fraction] in Capillary blood (LOINC: 71851-0, Concept ID: 42869606)"
Oxygen saturation,"Oxygen saturation Calculated from oxygen partial pressure in Venous blood (LOINC: 51731-8, Concept ID: 3041253)"
Oxygen saturation,"Oxygen saturation Calculated from oxygen partial pressure in Blood (LOINC: 2713-6, Concept ID: 3011367)"
Oxygen saturation,"Oxygen saturation in Arterial blood (LOINC: 2708-6, Concept ID: 3016502)"
PaO2,"Oxygen [Partial pressure] in Arterial blood (LOINC: 2703-7, Concept ID: 3027801)"
PCO2,"Carbon dioxide [Partial pressure] in Arterial blood (LOINC: 2019-8, Concept ID: 3027946)"
PCO2,"Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Arterial blood (LOINC: 32771-8, Concept ID: 3045156)"
PCT,"Procalcitonin [Mass/volume] in Serum or Plasma (LOINC: 33959-8, Concept ID: 3046279)"
pH,"pH of Capillary blood (LOINC: 2745-8, Concept ID: 3009343)"
pH,"pH of Arterial blood (LOINC: 2744-1, Concept ID: 3019977)"
pH,"pH of Blood adjusted to patient's actual temperature (LOINC: 49701-6, Concept ID: 3030091)"
pH,"pH of Mixed venous blood (LOINC: 19213-8, Concept ID: 3012388)"
pH,"pH of Venous blood (LOINC: 2746-6, Concept ID: 3012544)"
Phosphate,"Phosphate [Mass/volume] in Serum or Plasma (LOINC: 2777-1, Concept ID: 3011904)"
Platelets,"Platelets [#/volume] in Blood (LOINC: 26515-7, Concept ID: 3007461)"
Platelets,"Platelet mean volume [Entitic volume] in Blood by Rees-Ecker (LOINC: 776-5, Concept ID: 3024386)"
Platelets,"Platelets [#/volume] in Blood by Estimate (LOINC: 49497-1, Concept ID: 3031586)"
Platelets,"Platelet mean volume [Entitic volume] in Blood by Automated count (LOINC: 32623-1, Concept ID: 3043111)"
Platelets,"Platelets [#/volume] in Blood by Automated count (LOINC: 777-3, Concept ID: 3024929)"
Potassium,"Potassium [Moles/volume] in Blood (LOINC: 6298-4, Concept ID: 3005456)"
Potassium,"Potassium [Moles/volume] in Arterial blood (LOINC: 32713-0, Concept ID: 3043409)"
Potassium,"Potassium [Moles/volume] in Serum or Plasma (LOINC: 2823-3, Concept ID: 3023103)"
Protein ,"Protein [Mass/volume] in Urine (LOINC: 2888-6, Concept ID: 3037121)"
Protein ,"Protein [Mass/volume] in Serum or Plasma (LOINC: 2885-2, Concept ID: 3020630)"
Protein ,"Protein [Mass/time] in 24 hour Urine (LOINC: 2889-4, Concept ID: 3020876)"
Protein ,"Protein [Presence] in Urine by Test strip (LOINC: 20454-5, Concept ID: 3014051)"
PT,"Prothrombin time (PT) in Control Platelet poor plasma by Coagulation assay (LOINC: 5901-4, Concept ID: 3033891)"
PT,"Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay (LOINC: 3289-6, Concept ID: 3005353)"
PT,"Prothrombin time (PT) (LOINC: 5902-2, Concept ID: 3034426)"
PT,"Prothrombin time (PT) in Blood by Coagulation assay (LOINC: 5964-2, Concept ID: 3002417)"
RDW,"Erythrocyte distribution width [Ratio] by Automated count (LOINC: 788-0, Concept ID: 3019897)"
RDW,"Erythrocyte distribution width [Entitic volume] by Automated count (LOINC: 21000-5, Concept ID: 3015182)"
Reagin Ab ,"Reagin Ab [Units/volume] in Serum by VDRL (LOINC: 5291-0, Concept ID: 3001356)"
Reagin Ab ,"Reagin Ab [Presence] in Serum by VDRL (LOINC: 5292-8, Concept ID: 3019428)"
Reagin Ab ,"Reagin Ab [Titer] in Cerebral spinal fluid by VDRL (LOINC: 31146-4, Concept ID: 3006157)"
Reagin Ab ,"Reagin Ab [Units/volume] in Cerebral spinal fluid by VDRL (LOINC: 5289-4, Concept ID: 3019960)"
Reagin Ab ,"Reagin Ab [Titer] in Serum by RPR (LOINC: 31147-2, Concept ID: 3026501)"
Reagin Ab ,"Reagin Ab [Presence] in Cerebral spinal fluid by VDRL (LOINC: 5290-2, Concept ID: 3002446)"
Reagin Ab ,"Reagin Ab [Presence] in Cerebral spinal fluid (LOINC: 22459-2, Concept ID: 3009194)"
Reagin Ab ,"Reagin Ab [Presence] in Serum by RPR (LOINC: 20507-0, Concept ID: 3021461)"
Reticulocytes,"Reticulocytes/100 erythrocytes in Blood by Manual (LOINC: 31112-6, Concept ID: 3002809)"
Reticulocytes,"Reticulocytes [#/volume] in Blood by Automated count (LOINC: 60474-4, Concept ID: 40763528)"
Reticulocytes,"Reticulocytes [#/volume] in Blood by Manual count (LOINC: 40665-2, Concept ID: 3041154)"
Reticulocytes,"Reticulocytes/100 erythrocytes in Blood by Automated count (LOINC: 17849-1, Concept ID: 3007124)"
Reticulocytes,"Reticulocytes [#/volume] in Blood (LOINC: 14196-0, Concept ID: 3023520)"
Rh antigen,"Rh [Type] in Blood (LOINC: 10331-7, Concept ID: 3003310)"
Rheumatoid Factor,"Rheumatoid factor [Units/volume] in Serum or Plasma (LOINC: 11572-5, Concept ID: 3021614)"
Rheumatoid Factor,"Rheumatoid factor IgG [Units/volume] in Serum (LOINC: 33314-6, Concept ID: 3030625)"
Rheumatoid Factor,"Rheumatoid factor [Presence] in Serum (LOINC: 33910-1, Concept ID: 3043745)"
Rheumatoid Factor,"Rheumatoid factor [Units/volume] in Serum by Nephelometry (LOINC: 15205-8, Concept ID: 3024763)"
Rheumatoid Factor,"Rheumatoid factor [Titer] in Serum (LOINC: 17857-4, Concept ID: 3026797)"
Rheumatoid Factor,"Rheumatoid factor IgM [Units/volume] in Serum (LOINC: 11573-3, Concept ID: 3022632)"
Rheumatoid Factor,"Rheumatoid factor IgA [Units/volume] in Serum (LOINC: 33313-8, Concept ID: 3030930)"
Rubella,"Rubella virus Ab [Presence] in Serum (LOINC: 22496-4, Concept ID: 3010937)"
Rubella,"Rubella virus IgM Ab [Units/volume] in Serum (LOINC: 8015-0, Concept ID: 3017527)"
Rubella,"Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay (LOINC: 5334-8, Concept ID: 3011564)"
Rubella,"Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay (LOINC: 5335-5, Concept ID: 3011172)"
Rubella,"Rubella virus IgG Ab [Presence] in Serum (LOINC: 25514-1, Concept ID: 3013750)"
SARS-CoV-2 virus,"SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection (LOINC: 94500-6, Concept ID: 706163)"
SARS-CoV-2 virus,"SARS-CoV-2 (COVID-19) RNA [Presence] in Specimen by NAA with probe detection (LOINC: 94309-2, Concept ID: 706170)"
Sodium,"Sodium [Moles/volume] in Serum or Plasma (LOINC: 2951-2, Concept ID: 3019550)"
Sodium,"Sodium [Moles/volume] in Blood (LOINC: 2947-0, Concept ID: 3000285)"
Sodium,"Sodium [Moles/volume] in Arterial blood (LOINC: 32717-1, Concept ID: 3043706)"
Specific Gravity,"Specific gravity of Urine (LOINC: 2965-2, Concept ID: 3033543)"
Specific Gravity,"Specific gravity of Urine by Test strip (LOINC: 5811-5, Concept ID: 3000330)"
Specific Gravity,"Specific gravity of Urine by Automated test strip (LOINC: 53326-5, Concept ID: 3039919)"
T3,"Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma (LOINC: 3051-0, Concept ID: 3026925)"
T3,"Triiodothyronine (T3) [Mass/volume] in Serum or Plasma (LOINC: 3053-6, Concept ID: 3010340)"
T3,"Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma (LOINC: 3052-8, Concept ID: 3027514)"
T3,"Triiodothyronine resin uptake (T3RU) in Serum or Plasma (LOINC: 3050-2, Concept ID: 3021717)"
T4 cells,"CD3+CD4+ (T4 helper) cells/100 cells in Blood (LOINC: 8123-2, Concept ID: 3014037)"
T4 cells,"CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood (LOINC: 54218-3, Concept ID: 40757349)"
T4 cells,"CD3+CD4+ (T4 helper) cells [#/volume] in Blood (LOINC: 24467-3, Concept ID: 3028167)"
TCO2,"Carbon dioxide, total [Moles/volume] in Serum or Plasma (LOINC: 2028-9, Concept ID: 3015632)"
TCO2,"Carbon dioxide, total [Moles/volume] in Blood (LOINC: 20565-8, Concept ID: 3014094)"
Thyroxine,"Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis (LOINC: 6892-4, Concept ID: 3024675)"
Thyroxine,"Thyroxine (T4) free [Mass/volume] in Serum or Plasma (LOINC: 3024-7, Concept ID: 3008598)"
Thyroxine,"Thyroxine (T4) free index in Serum or Plasma by calculation (LOINC: 32215-6, Concept ID: 3000551)"
Thyroxine,"Thyroxine (T4) [Mass/volume] in Serum or Plasma (LOINC: 3026-2, Concept ID: 3016991)"
Toxoplasma,"Toxoplasma gondii Ab [Interpretation] in Serum (LOINC: 20464-4, Concept ID: 3005475)"
Toxoplasma,"Toxoplasma gondii IgM Ab [Presence] in Serum (LOINC: 25542-2, Concept ID: 3034844)"
Toxoplasma,"Toxoplasma gondii IgG Ab [Units/volume] in Serum (LOINC: 8039-0, Concept ID: 3014959)"
Toxoplasma,"Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay (LOINC: 5388-4, Concept ID: 3006957)"
Toxoplasma,"Toxoplasma gondii IgG Ab [Presence] in Serum by Sabin dye test (LOINC: 21570-7, Concept ID: 3021323)"
Toxoplasma,"Toxoplasma gondii IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay (LOINC: 31178-7, Concept ID: 3002915)"
Toxoplasma,"Toxoplasma gondii IgM Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 40678-5, Concept ID: 3038943)"
Toxoplasma,"Toxoplasma gondii IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay (LOINC: 30038-4, Concept ID: 3006572)"
Toxoplasma,"Toxoplasma gondii IgM Ab [Units/volume] in Cerebral spinal fluid (LOINC: 18348-3, Concept ID: 3007344)"
Toxoplasma,"Toxoplasma gondii IgM Ab [Units/volume] in Serum (LOINC: 8040-8, Concept ID: 3027529)"
Toxoplasma,"Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay (LOINC: 5390-0, Concept ID: 3017382)"
Toxoplasma,"Toxoplasma gondii IgG Ab [Presence] in Serum (LOINC: 22580-5, Concept ID: 3024995)"
Transferrin,"Transferrin [Mass/volume] in Serum or Plasma (LOINC: 3034-6, Concept ID: 3004789)"
Triglycerides ,"Triglyceride [Mass/volume] in Serum or Plasma (LOINC: 2571-8, Concept ID: 3022192)"
Troponin,"Troponin I.cardiac [Mass/volume] in Serum or Plasma (LOINC: 10839-9, Concept ID: 3021337)"
Troponin,"Troponin I.cardiac [Mass/volume] in Blood (LOINC: 42757-5, Concept ID: 3033745)"
Troponin,"Troponin T.cardiac [Mass/volume] in Serum or Plasma (LOINC: 6598-7, Concept ID: 3019800)"
TSH,"Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L (LOINC: 11580-8, Concept ID: 3019170)"
TSH,"Thyrotropin [Units/volume] in Serum or Plasma (LOINC: 3016-3, Concept ID: 3009201)"
TSH,"Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L (LOINC: 11579-0, Concept ID: 3019762)"
Urate ,"Urate [Mass/volume] in Serum or Plasma (LOINC: 3084-1, Concept ID: 3037556)"
WBC,"Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count (LOINC: 33256-9, Concept ID: 3046900)"
WBC,"Leukocytes [#/volume] in Blood by Automated count (LOINC: 6690-2, Concept ID: 3000905)"
WBC,"Leukocytes [#/volume] in Blood (LOINC: 26464-8, Concept ID: 3010813)"
