source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
Nutrition	38003688	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003688	Provider	2022-01-13	2099-12-31	
Registered Dietitian	38003690	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003690	Provider	2022-01-13	2099-12-31	
Certified Registered Nurse First Assistant	38003756	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003756	Provider	2022-01-13	2099-12-31	
Wound Care	38003762	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003762	Provider	2022-01-13	2099-12-31	
Genetic Counselor	38003776	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003776	Provider	2022-01-13	2099-12-31	
Acupuncture	38003780	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003780	Provider	2022-01-13	2099-12-31	
Lactation Services	38003802	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003802	Provider	2022-01-13	2099-12-31	
Pharmacy	38003810	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003810	Provider	2022-01-13	2099-12-31	
SURG TRANSPLANT	38003827	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003827	Provider	2022-01-13	2099-12-31	
SURGERY TRANSPLANT	38003827	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003827	Provider	2022-01-13	2099-12-31	
TRANSPLANT	38003827	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003827	Provider	2022-01-13	2099-12-31	
Transplant Nephrology	38003827	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003827	Provider	2022-01-13	2099-12-31	
Transplant Surgery	38003827	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003827	Provider	2022-01-13	2099-12-31	
Allergy	38003830	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003830	Provider	2022-01-13	2099-12-31	
ANESTH PAIN CLINIC	38003836	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003836	Provider	2022-01-13	2099-12-31	
MOHS Surgery	38003839	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003839	Provider	2022-01-13	2099-12-31	
FAM	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
Family Medicine	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
FAMILY MEDICINE AFTER HOURS	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
FAMILY PRAC	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
FAMILY PRACTICE	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
FAMILY PRACTICE @ MED PLAZA	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
FAMILY PRACTICE CLINIC	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
FAMILY PRACTICE MEDICAL GROUP	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
UF FAMILY PRACTICE	38003851	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003851	Provider	2022-01-13	2099-12-31	
Bariatrics	38003864	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003864	Provider	2022-01-13	2099-12-31	
Gynecology	38003902	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003902	Provider	2022-01-13	2099-12-31	
Obstetrics	38003905	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003905	Provider	2022-01-13	2099-12-31	
Pediatric Orthopedic Surgery	38003909	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003909	Provider	2022-01-13	2099-12-31	
PATH IMMUNO	38003930	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003930	Provider	2022-01-13	2099-12-31	
Pediatric Allergy and Immunology	38003947	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003947	Provider	2022-01-13	2099-12-31	
Pediatric Immunology	38003947	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003947	Provider	2022-01-13	2099-12-31	
PEDS ALLERGY	38003947	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003947	Provider	2022-01-13	2099-12-31	
PEDS IMMUNOLOGY	38003947	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003947	Provider	2022-01-13	2099-12-31	
Addiction Psychiatry	38003991	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003991	Provider	2022-01-13	2099-12-31	
Body Imaging	38003998	Provider	ALL_PROVIDERS.SPCLTY_DESC	38003998	Provider	2022-01-13	2099-12-31	
Trauma	38004016	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004016	Provider	2022-01-13	2099-12-31	
ORT	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTH	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTHO	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTHO @ SEBASTIAN	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTHO GENERAL	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTHO INSTITUTE	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTHO OTHER	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
ORTHOPAEDICS	38004061	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004061	Provider	2022-01-13	2099-12-31	
SURG PLASTIC	38004467	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004467	Provider	2022-01-13	2099-12-31	
SURGERY PLASTICS	38004467	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004467	Provider	2022-01-13	2099-12-31	
Physical Medicine & Rehabilitation	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
REH	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
REHAB	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
REHAB @ ILLUMINATIONS	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
REHAB @ SHANDS	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
REHAB SERVICES	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
Rehabilitation	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
SHANDS REHAB HOSPITAL	38004468	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004468	Provider	2022-01-13	2099-12-31	
Behavioral Health	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSY	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSY IP	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSY VISTA	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYC	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYCH	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYCH - BEHAVIORAL HEALTH	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYCH ADULT CLINIC	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYCH AOPC	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
Psychiatry	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYCHIATRY ADULT	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PSYCH-SPECIALTY	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
PYSC	38004469	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004469	Provider	2022-01-13	2099-12-31	
Geriatric Psychiatry	38004470	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004470	Provider	2022-01-13	2099-12-31	
Colon and Rectal Surgery	38004471	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004471	Provider	2022-01-13	2099-12-31	
MED PULMONARY	38004472	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004472	Provider	2022-01-13	2099-12-31	
Pulmonary Disease	38004472	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004472	Provider	2022-01-13	2099-12-31	
Pulmonary/Critical Care	38004472	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004472	Provider	2022-01-13	2099-12-31	
SURG THORACIC	38004473	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004473	Provider	2022-01-13	2099-12-31	
Thoracic Surgery	38004473	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004473	Provider	2022-01-13	2099-12-31	
Urology	38004474	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004474	Provider	2022-01-13	2099-12-31	
Chiropractic Medicine	38004475	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004475	Provider	2022-01-13	2099-12-31	
Nuclear Medicine	38004476	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004476	Provider	2022-01-13	2099-12-31	
OCALA C./PED	38004477	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004477	Provider	2022-01-13	2099-12-31	
PED	38004477	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004477	Provider	2022-01-13	2099-12-31	
Pediatrics	38004477	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004477	Provider	2022-01-13	2099-12-31	
PEDS	38004477	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004477	Provider	2022-01-13	2099-12-31	
PEDS DEPARTMENT	38004477	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004477	Provider	2022-01-13	2099-12-31	
PEDS GENERAL	38004477	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004477	Provider	2022-01-13	2099-12-31	
Geriatric Medicine	38004478	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004478	Provider	2022-01-13	2099-12-31	
Gerontology	38004478	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004478	Provider	2022-01-13	2099-12-31	
Dialysis	38004479	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004479	Provider	2022-01-13	2099-12-31	
MED NEPHROLOGY	38004479	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004479	Provider	2022-01-13	2099-12-31	
Nephrology	38004479	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004479	Provider	2022-01-13	2099-12-31	
NEPHROLOGY SERVICES	38004479	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004479	Provider	2022-01-13	2099-12-31	
RENAL SERVICES	38004479	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004479	Provider	2022-01-13	2099-12-31	
Hand Surgery	38004480	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004480	Provider	2022-01-13	2099-12-31	
EYE	38004463	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004463	Provider	2022-01-13	2099-12-31	
EYE CENTER	38004463	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004463	Provider	2022-01-13	2099-12-31	
EYE CLINIC @ 720 BUILDING	38004463	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004463	Provider	2022-01-13	2099-12-31	
Optometry	38004481	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004481	Provider	2022-01-13	2099-12-31	
Nurse Midwife	38004482	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004482	Provider	2022-01-13	2099-12-31	
Nurse Anesthetist	38004483	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004483	Provider	2022-01-13	2099-12-31	
Infectious Disease	38004484	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004484	Provider	2022-01-13	2099-12-31	
MED INFECTIOUS DISEASE	38004484	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004484	Provider	2022-01-13	2099-12-31	
END	38004485	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004485	Provider	2022-01-13	2099-12-31	
ENDOCRINOLOGY AT MEDICAL PLAZA	38004485	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004485	Provider	2022-01-13	2099-12-31	
ENDOCRINOLOGY SERVICES	38004485	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004485	Provider	2022-01-13	2099-12-31	
MED ENDOCRINOLOGY	38004485	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004485	Provider	2022-01-13	2099-12-31	
MED PL ENDO	38004485	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004485	Provider	2022-01-13	2099-12-31	
Podiatry	38004486	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004486	Provider	2022-01-13	2099-12-31	
Nurse Practitioner	38004487	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004487	Provider	2022-01-13	2099-12-31	
Neuropsychology	38004488	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004488	Provider	2022-01-13	2099-12-31	
Psychology	38004488	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004488	Provider	2022-01-13	2099-12-31	
Audiology	38004489	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004489	Provider	2022-01-13	2099-12-31	
Physical Therapy	38004490	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004490	Provider	2022-01-13	2099-12-31	
MED RHEUMATOLOGY/IMMUNOLOGY	38004491	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004491	Provider	2022-01-13	2099-12-31	
Rheumatology	38004491	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004491	Provider	2022-01-13	2099-12-31	
Occupational Therapy	38004492	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004492	Provider	2022-01-13	2099-12-31	
CLIN PSY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLINCAL PSYCHOLOGY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLINICAL PSHYCHOLOGY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLINICAL PSY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLINICAL PSYCH	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLINICAL PSYCHOLOGY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLNICAL PSY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
CLPSY	38004493	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004493	Provider	2022-01-13	2099-12-31	
Facial Pain	38004494	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004494	Provider	2022-01-13	2099-12-31	
PAIN MANAGEMENT	38004494	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004494	Provider	2022-01-13	2099-12-31	
Pain Medicine	38004494	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004494	Provider	2022-01-13	2099-12-31	
PAIN SERVICES	38004494	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004494	Provider	2022-01-13	2099-12-31	
Peripheral Vascular Disease	38004495	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004495	Provider	2022-01-13	2099-12-31	
SURG VASCULAR	38004496	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004496	Provider	2022-01-13	2099-12-31	
Vascular Surgery	38004496	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004496	Provider	2022-01-13	2099-12-31	
Complex Aortic Surgery	38004497	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004497	Provider	2022-01-13	2099-12-31	
Addiction Medicine	38004498	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004498	Provider	2022-01-13	2099-12-31	
Social Work	38004499	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004499	Provider	2022-01-13	2099-12-31	
Critical Care Medicine	38004500	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004500	Provider	2022-01-13	2099-12-31	
Intensive Care	38004500	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004500	Provider	2022-01-13	2099-12-31	
Hematology	38004501	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004501	Provider	2022-01-13	2099-12-31	
ADULT ONCOLOGY	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
CANCER CTR	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
HEM/ONC SERVICES	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
Hematology/Medical Oncology	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
MED HEM/ONC	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
MED ONCO	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
Musculoskeletal Oncology	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
Oncology	38004502	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004502	Provider	2022-01-13	2099-12-31	
Preventative Medicine	38004503	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004503	Provider	2022-01-13	2099-12-31	
Certified Clinical Nurse Specialist	38004506	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004506	Provider	2022-01-13	2099-12-31	
Medical Oncology	38004507	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004507	Provider	2022-01-13	2099-12-31	
SURG ONCOLOGY	38004508	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004508	Provider	2022-01-13	2099-12-31	
Surgical Oncology	38004508	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004508	Provider	2022-01-13	2099-12-31	
Radiation Oncology	38004509	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004509	Provider	2022-01-13	2099-12-31	
Emergency Medicine	38004510	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004510	Provider	2022-01-13	2099-12-31	
Urgent Care	38004510	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004510	Provider	2022-01-13	2099-12-31	
Physician Assistant	38004512	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004512	Provider	2022-01-13	2099-12-31	
Gynecologic Oncology	38004513	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004513	Provider	2022-01-13	2099-12-31	
OBGYN ONC	38004513	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004513	Provider	2022-01-13	2099-12-31	
Diagnostic Radiology	38004675	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004675	Provider	2022-01-13	2099-12-31	
Anesthesiology Assistant	38004676	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004676	Provider	2022-01-13	2099-12-31	
Orthotics	38004684	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004684	Provider	2022-01-13	2099-12-31	
Lab	38004692	Provider	ALL_PROVIDERS.SPCLTY_DESC	38004692	Provider	2022-01-13	2099-12-31	
Behavioral Neurology	43125860	Provider	ALL_PROVIDERS.SPCLTY_DESC	43125860	Provider	2022-01-13	2099-12-31	
Breast Surgery	44777667	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777667	Provider	2022-01-13	2099-12-31	
Orthodontics	44777673	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777673	Provider	2022-01-13	2099-12-31	
BURN	44777674	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777674	Provider	2022-01-13	2099-12-31	
Burns	44777674	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777674	Provider	2022-01-13	2099-12-31	
Cardiothoracic Transplant Surgery	44777676	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777676	Provider	2022-01-13	2099-12-31	
Occupational Medicine	44777713	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777713	Provider	2022-01-13	2099-12-31	
PSYCHOTHERAPY	44777741	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777741	Provider	2022-01-13	2099-12-31	
PSYCHTHERAPY OUTPATIENT	44777741	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777741	Provider	2022-01-13	2099-12-31	
Pediatric Ophthalmology	44777755	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777755	Provider	2022-01-13	2099-12-31	
Pediatric Neurosurgery	44777757	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777757	Provider	2022-01-13	2099-12-31	
Pediatric Plastic Surgery	44777758	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777758	Provider	2022-01-13	2099-12-31	
Pediatric Cardiothoracic Surgery	44777760	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777760	Provider	2022-01-13	2099-12-31	
Pediatric Intensive Care	44777763	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777763	Provider	2022-01-13	2099-12-31	
PEDS NEUROLOGY	44777781	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777781	Provider	2022-01-13	2099-12-31	
BONE MARROW TRANSPLANT CLINIC	44777800	Provider	ALL_PROVIDERS.SPCLTY_DESC	44777800	Provider	2022-01-13	2099-12-31	
Adolescent Medicine	45756747	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756747	Provider	2022-01-13	2099-12-31	
Aerospace Medicine	45756750	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756750	Provider	2022-01-13	2099-12-31	
ANES CRITICAL CARE	45756751	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756751	Provider	2022-01-13	2099-12-31	
Cardiovascular Disease	45756754	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756754	Provider	2022-01-13	2099-12-31	
Thoracic Diseases	45756754	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756754	Provider	2022-01-13	2099-12-31	
Child and Adolescent Psychiatry	45756756	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756756	Provider	2022-01-13	2099-12-31	
PSYCH CHILD CLINIC	45756756	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756756	Provider	2022-01-13	2099-12-31	
Clinical Genetics	45756760	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756760	Provider	2022-01-13	2099-12-31	
Medical Genetics	45756760	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756760	Provider	2022-01-13	2099-12-31	
Pediatric Genetics	45756760	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756760	Provider	2022-01-13	2099-12-31	
Clinical Neurophysiology	45756763	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756763	Provider	2022-01-13	2099-12-31	
Congenital Heart Surgery	45756765	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756765	Provider	2022-01-13	2099-12-31	
Cytopathology	45756766	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756766	Provider	2022-01-13	2099-12-31	
Dermatopathology	45756767	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756767	Provider	2022-01-13	2099-12-31	
Pediatrics Developmental and Behavioral	45756768	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756768	Provider	2022-01-13	2099-12-31	
Endocrinology Diabetes & Metabolism	45756771	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756771	Provider	2022-01-13	2099-12-31	
Forensic Psychiatry	45756775	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756775	Provider	2022-01-13	2099-12-31	
Maternal and Fetal Medicine	45756780	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756780	Provider	2022-01-13	2099-12-31	
Neonatal-Perinatal Medicine	45756786	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756786	Provider	2022-01-13	2099-12-31	
PEDS NEONATOLOGY	45756786	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756786	Provider	2022-01-13	2099-12-31	
Perinatology	45756786	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756786	Provider	2022-01-13	2099-12-31	
Child Neurology	45756788	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756788	Provider	2022-01-13	2099-12-31	
Neuropathology	45756790	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756790	Provider	2022-01-13	2099-12-31	
Advanced Neuroradiology	45756791	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756791	Provider	2022-01-13	2099-12-31	
Neuroradiology	45756791	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756791	Provider	2022-01-13	2099-12-31	
Neurotology	45756792	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756792	Provider	2022-01-13	2099-12-31	
Nuclear Radiology	45756793	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756793	Provider	2022-01-13	2099-12-31	
ORTHO SPORTS MEDICINE	45756794	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756794	Provider	2022-01-13	2099-12-31	
Anatomic And Clinical Pathology	45756795	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756795	Provider	2022-01-13	2099-12-31	
Anatomic Pathology	45756795	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756795	Provider	2022-01-13	2099-12-31	
Chemical Pathology	45756796	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756796	Provider	2022-01-13	2099-12-31	
Clinical Pathology	45756797	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756797	Provider	2022-01-13	2099-12-31	
Forensic Pathology	45756798	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756798	Provider	2022-01-13	2099-12-31	
Hematopathology	45756799	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756799	Provider	2022-01-13	2099-12-31	
Pediatric Pathology	45756802	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756802	Provider	2022-01-13	2099-12-31	
Pediatric Anesthesia	45756804	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756804	Provider	2022-01-13	2099-12-31	
Pediatric Cardiology	45756805	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756805	Provider	2022-01-13	2099-12-31	
PEDS CARDIOLOGY	45756805	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756805	Provider	2022-01-13	2099-12-31	
Pediatric Critical Care Medicine	45756806	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756806	Provider	2022-01-13	2099-12-31	
Pediatric Dermatology	45756807	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756807	Provider	2022-01-13	2099-12-31	
Pediatric Emergency Medicine	45756808	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756808	Provider	2022-01-13	2099-12-31	
Pediatric Endocrinology	45756809	Provider	ALL_PROVIDERS.SPCLTY_DESC	45756809	Provider	2022-01-13	2099-12-31	
